,Value
YYYY-30-DD 01:30:SS,204.8213654
YYYY-32-DD 01:32:SS,196.2369232
YYYY-34-DD 01:34:SS,195.1596832
YYYY-36-DD 01:36:SS,196.6624908
YYYY-38-DD 01:38:SS,196.2364044
YYYY-40-DD 01:40:SS,194.6366119
YYYY-42-DD 01:42:SS,198.598526
YYYY-44-DD 01:44:SS,195.8754425
YYYY-46-DD 01:46:SS,196.1774597
YYYY-48-DD 01:48:SS,195.0610046
YYYY-50-DD 01:50:SS,196.2931976
YYYY-52-DD 01:52:SS,194.6740875
YYYY-54-DD 01:54:SS,194.7504272
YYYY-56-DD 01:56:SS,195.3388977
YYYY-58-DD 01:58:SS,196.3110504
YYYY-00-DD 02:00:SS,196.5712585
YYYY-02-DD 02:02:SS,196.2220612
YYYY-04-DD 02:04:SS,196.0254822
YYYY-06-DD 02:06:SS,194.9429626
YYYY-08-DD 02:08:SS,194.6828003
YYYY-10-DD 02:10:SS,194.9608002
YYYY-12-DD 02:12:SS,196.7049561
YYYY-14-DD 02:14:SS,195.6091003
YYYY-16-DD 02:16:SS,199.8055878
YYYY-18-DD 02:18:SS,198.526947
YYYY-20-DD 02:20:SS,200.1956787
YYYY-22-DD 02:22:SS,196.5498657
YYYY-24-DD 02:24:SS,198.9957123
YYYY-26-DD 02:26:SS,198.7156525
YYYY-28-DD 02:28:SS,204.637085
YYYY-30-DD 02:30:SS,198.2700653
YYYY-32-DD 02:32:SS,197.0729675
YYYY-34-DD 02:34:SS,199.286026
YYYY-36-DD 02:36:SS,199.1004181
YYYY-38-DD 02:38:SS,198.5173492
YYYY-40-DD 02:40:SS,196.9690857
YYYY-42-DD 02:42:SS,199.8924713
YYYY-44-DD 02:44:SS,197.3825226
YYYY-46-DD 02:46:SS,198.2205505
YYYY-48-DD 02:48:SS,197.2395935
YYYY-50-DD 02:50:SS,198.726181
YYYY-52-DD 02:52:SS,198.4443207
YYYY-54-DD 02:54:SS,199.9598694
YYYY-56-DD 02:56:SS,199.5438538
YYYY-58-DD 02:58:SS,198.6848145
YYYY-00-DD 03:00:SS,197.9615784
YYYY-02-DD 03:02:SS,196.3806763
YYYY-04-DD 03:04:SS,197.517746
YYYY-06-DD 03:06:SS,196.2535248
YYYY-08-DD 03:08:SS,197.9311676
YYYY-10-DD 03:10:SS,196.4289703
YYYY-12-DD 03:12:SS,196.6135101
YYYY-14-DD 03:14:SS,195.0162201
YYYY-16-DD 03:16:SS,194.6059113
YYYY-18-DD 03:18:SS,195.298111
YYYY-20-DD 03:20:SS,193.8201447
YYYY-22-DD 03:22:SS,194.9725189
YYYY-24-DD 03:24:SS,196.4913025
YYYY-26-DD 03:26:SS,197.2961273
YYYY-28-DD 03:28:SS,196.5622711
YYYY-30-DD 03:30:SS,195.2315826
YYYY-32-DD 03:32:SS,195.9049377
YYYY-34-DD 03:34:SS,195.6059723
YYYY-36-DD 03:36:SS,194.6720123
YYYY-38-DD 03:38:SS,196.6133423
YYYY-40-DD 03:40:SS,196.2422028
YYYY-42-DD 03:42:SS,195.6531372
YYYY-44-DD 03:44:SS,196.9579315
YYYY-46-DD 03:46:SS,196.1572266
YYYY-48-DD 03:48:SS,195.3675842
YYYY-50-DD 03:50:SS,194.9760284
YYYY-52-DD 03:52:SS,194.6707611
YYYY-54-DD 03:54:SS,194.6855316
YYYY-56-DD 03:56:SS,197.3209534
YYYY-58-DD 03:58:SS,195.3253479
YYYY-00-DD 04:00:SS,195.4178162
YYYY-02-DD 04:02:SS,193.7628326
YYYY-04-DD 04:04:SS,201.3324432
YYYY-06-DD 04:06:SS,194.2601624
YYYY-08-DD 04:08:SS,195.0139923
YYYY-10-DD 04:10:SS,195.9712677
YYYY-12-DD 04:12:SS,195.3056335
YYYY-14-DD 04:14:SS,195.3921509
YYYY-16-DD 04:16:SS,196.3246155
YYYY-18-DD 04:18:SS,198.8454895
YYYY-20-DD 04:20:SS,194.8594513
